stage
3.05
1.24
2.08
1.52
1.06
1.57
1.01
1.67
2.26
1.03
1.03
1.55
1.66
8.29
4.79
1.22
5.42
1.77
19.49
5.32
3.12
8.0
2.26
1.88
3.18
4.81
6.88
1.21
1.32
1.1
2.02
1.01
1.7
1.82
1.72
7.67
5.9
1.15
2.56
5.27
41.22
1.44
4.44
1.05
2.29
1.17
1.2
8.18
1.7
8.27
1.02
1.9
3.57
1.75
1.24
2.06
2.93
1.71
1.2
1.33
2.23
1.18
1.59
1.5
123.49
9.01
2.65
2.76
1.39
3.14
1.39
3.14
1.83
4.45
9.0
2.67
8.0
1.12
5.41
1.7
5.72
1.75
2.46
2.54
1.02
17.58
1.64
2.81
1.84
2.16
18.68
1.89
44.86
1.41
1.41
3.0
1.1
1.06
1.02
2.06
1.19
2.74
2.55
1.19
1.1
1.05
2.28
1.34
2.47
16.04
13.87
5.04
30.06
3.97
10.0
1.3
1.79
1.58
1.07
1.9
1.87
1.05
1.68
3.66
9.51
3.15
3.39
1.33
5.09
2.23
1.01
2.53
1.61
1.5
19.12
6.0
8.91
1.72
8.85
4.65
6.0
8.91
1.72
8.85
4.65
1.78
1.78
1.63
1.02
2.78
6.0
1.83
41.0
3.51
7.84
1.76
2.23
31.51
3.48
1.23
1.2
5.6
2.78
6.0
1.83
8.6
1.86
1.85
2.81
17.25
1.17
2.16
1.25
2.13
2.58
2.71
